gruppe,datum,lehrkraft_id,id,mtr_rueckkopplung_datenmaske_values_id,token_anzahl,funktionsklassen_anzahl_gesamt,dominante_dimension,dominante_dimension_wert,polaritaet_gesamt,d_semantisch,kognition,sozial,affektiv,motivation,methodik,performanz,regulation
LK_1,2025-11-26,1,2818,3579,15,5,motivation,1.2782388005983,1,2.726925290001,1.0611120230373,-1.0,0.96547765149551,1.2782388005983,0.91654153055586,0.97489569566691,0.97655071054048
LK_1,2025-11-26,1,2819,3580,11,7,regulation,2.1700224502411,1,4.770377344071,1.8998306409416,1.2698039128436,1.4331823847506,2.0522145758303,1.7444118346327,1.8754133056277,2.1700224502411
LK_1,2025-11-26,1,3057,3826,8,4,performanz,1.9872466272531,1,4.0865439516009,1.4518121651117,0.795,1.0163487511138,1.8908786014017,1.4871094925001,1.9872466272531,1.7863447137261
LK_1,2025-11-26,1,3058,3827,6,4,performanz,-1.4557534081463,-1,2.4124386989978,-0.51539251160988,-0.38324094142425,-0.62915212486842,-0.90878098071492,-0.6101486142422,-1.4557534081463,-1.3015924217236
LK_1,2025-11-26,1,3059,3828,12,6,regulation,1.9735549821712,1,4.1508586304112,1.581926910348,0.795,1.1199548059827,1.7947035040314,1.4394830774208,1.9112350424048,1.9735549821712
LK_1,2025-11-26,1,3061,3830,8,3,kognition,1.8497956426329,1,2.9898402914902,1.8497956426329,0.78229803971869,1.1215455010172,0.98402269147006,1.2107842329307,1.0691960509694,0.26470210400545
LK_other,2025-11-26,19,2489,3188,10,5,motivation,1.376852504409,1,2.4862506965683,0.62692950024605,0.795,0.74859199099376,1.376852504409,0.45507923752819,1.2707328728139,0.93723262509945
LK_other,2025-11-26,19,2490,3189,8,7,regulation,1.6503717987936,1,3.3964613846515,1.5026401652642,0.397,0.59067137448555,1.2022688378365,1.3744646909752,1.6471764262225,1.6503717987936
LK_other,2025-11-26,19,2491,3190,13,6,performanz,1.5305173191372,1,3.1971929399825,1.5201340619684,0.27565528982636,0.69973204427701,1.1314691626385,1.2708935679544,1.5305173191372,1.4518085842393
LK_other,2025-11-26,19,2492,3191,12,6,regulation,1.6547937848958,1,3.414990033546,1.2246722505097,1.0,-0.14062248630245,1.5420600652216,1.5704684184992,1.2489585083626,1.6547937848958
LK_1,2025-11-27,1,1041,1601,12,4,kognition,2.2375701027702,1,4.04857516276,2.2375701027702,0.795,1.2778531291911,1.2913915343261,1.7638556213173,1.6677632302747,1.2485969421252
LK_1,2025-11-27,1,1042,1602,8,7,regulation,2.3371925602628,1,4.7275916595967,2.1979767777828,0.37061934137972,0.44056328863695,1.8893691294467,1.942968303271,2.0929060366262,2.3371925602628
LK_1,2025-11-27,1,1043,1603,9,5,kognition,1.7353414214652,1,2.9737596993293,1.7353414214652,0.31864094658265,0.79666131289137,0.68944243262771,1.2775293460538,1.425802689087,0.97739971038524
LK_1,2025-11-27,1,1141,1703,10,5,performanz,1.5787926947118,1,2.9265661869219,0.83874379722431,0.795,0.74859199099376,1.5275935061726,0.6259977036912,1.5787926947118,1.2045256751392
LK_1,2025-11-27,1,1142,1704,8,5,motivation,1.771051310269,1,3.6940393184514,1.2299382812187,1.5036007731589,1.5633828689132,1.771051310269,0.94741430727506,1.3364758076743,1.2679955966283
LK_1,2025-11-27,1,1174,1737,8,4,kognition,2.1155033148176,1,3.3480700371328,2.1155033148176,0.30336090765403,0.89450431130079,0.64220123989465,1.5431205600535,1.4813592451273,0.92411264833204
LK_1,2025-11-27,1,1175,1738,7,5,kognition,1.8839993519699,1,3.6093466292389,1.8839993519699,0.45442760716789,0.26274339804259,1.3209357877932,1.7545513262765,1.5596997187683,1.3951365752738
LK_1,2025-11-27,1,1815,2386,8,3,kognition,1.8497956426329,1,2.9898402914902,1.8497956426329,0.78229803971869,1.1215455010172,0.98402269147006,1.2107842329307,1.0691960509694,0.26470210400545
LK_1,2025-11-27,1,1816,2387,9,6,motivation,0.85498642040099,1,1.600398327724,0.53440185173481,0.72680209387836,0.74363029726615,0.85498642040099,0.29926869591014,0.58117728932394,0.19008312002503
LK_1,2025-11-27,1,1817,2388,8,3,kognition,2.1505046567471,1,3.4817423048328,2.1505046567471,1.0,0.54328868359034,1.0,1.7444801733812,1.2281028171672,0.807
LK_1,2025-11-27,1,2483,3182,6,6,motivation,1.2947630543375,1,2.3968774252851,0.96594885738276,0.58378792642131,1.0191194083261,1.2947630543375,0.66258049149992,0.98691099556958,0.58577632039074
LK_1,2025-11-27,1,2485,3184,9,5,kognition,1.7353414214652,1,2.9737596993293,1.7353414214652,0.31864094658265,0.79666131289137,0.68944243262771,1.2775293460538,1.425802689087,0.97739971038524
LK_1,2025-11-27,1,2487,3186,7,6,kognition,1.7808001933432,1,3.4143577757872,1.7808001933432,-0.397,-0.24108584172301,1.226689035039,1.624692441483,1.5602238299783,1.3008337294441
